case_id,faa_ors_id,faa_asn_id,usgs_project_id,eia_id,state,county,project_name,project_year,project_turbine_count,wind_capacity_mw,turbine_manufacturer,turbine_model,turbine_capacity_kw,turbine_hub_height_m,turbine_rotor_diameter_m,turbine_rotor_swept_area_m2,turbine_total_tip_height_m,turbine_retrofit_flag,turbine_retrofit_year,offshore_flag,attribute_confidence,location_confidence,image_date,image_source,longitude,latitude,fips,zip_code
3048448,06-037682,2013-WTW-7820-OE,,59330.0,CA,monterey,Taylor Farms,2014.0,1,1.85,GE Wind,GE1.85-82.5,1850.0,80.0,82.5,5345.62,121.3,0,,0,3,3,8/8/2017,Maxar,-121.451797,36.50515,06053,93926
3061589,06-020792,2009-WTW-9229-OE,11946.0,57594.0,CA,san joaquin,Teichert Aggregates,2010.0,1,1.5,GE Wind,GE 1.5-77,1500.0,80.0,77.0,4656.63,118.5,0,,0,3,3,8/12/2017,Maxar,-121.35656,37.616653,06077,95304
3014629,06-002731,2003-AWP-2431-OE,13707.0,,CA,san bernardino,Victorville Wind Project,2005.0,1,0.75,NEG Micon,NM48,750.0,55.0,48.0,1809.56,78.9,0,,0,3,3,,Bing Maps Aerial,-117.358292,34.557693,06071,92394
3040605,06-023090,2011-WTW-13709-OE,12047.0,58105.0,CA,tehama,Walmart Red Bluff,2012.0,1,1.5,GE Wind,GE1.5-77,1500.0,65.0,77.0,4656.63,103.6,0,,0,3,3,1/1/2012,NAIP,-122.193886,40.111195,06103,96080
3028559,06-020602,2013-WTW-8458-OE,2670.0,50386.0,CA,kern,Windland,2009.0,2,3.0,AAER,A-1500,1500.0,80.0,77.0,4656.63,118.6,0,,0,3,3,7/31/2016,Maxar,-118.334381,35.091591,06029,93501
3068351,,,14459.0,50276.0,CA,riverside,Wintec Palm,1986.0,22,1.43,Micon,M65,65.0,,,,,0,,0,2,3,11/3/2018,Maxar,-116.559311,33.912647,06065,92258
3068334,,,14455.0,50276.0,CA,riverside,Wintec Palm,1986.0,22,1.43,Micon,M65,65.0,,,,,0,,0,2,3,11/3/2018,Maxar,-116.559265,33.913742,06065,92258
3068336,,,14467.0,50276.0,CA,riverside,Wintec Palm,1986.0,22,1.43,Micon,M65,65.0,,,,,0,,0,2,3,11/3/2018,Maxar,-116.560585,33.913322,06065,92258
3068345,,,14460.0,50276.0,CA,riverside,Wintec Palm,1986.0,22,1.43,Micon,M65,65.0,,,,,0,,0,2,3,11/3/2018,Maxar,-116.559273,33.912373,06065,92258
3002257,,,14474.0,50276.0,CA,riverside,Wintec Palm,1986.0,22,1.43,Micon,M65,65.0,,,,,0,,0,2,3,11/3/2018,Maxar,-116.56189,33.910995,06065,92258
