outcome,blocks,term,coef,se,pval,nobs,rsquared
y_chargers,education+housing_value,pct_hispanic,0.42321342860606276,0.13736444682095814,0.0020633909496219184,1382,0.16097550695224194
y_chargers,education+housing_value,pct_asian,0.24199888653614238,0.13633896774072413,0.07590125549064192,1382,0.16097550695224194
y_chargers,education+housing_structure,log_median_household_income,-0.04079748845927341,0.13732245170811447,0.7663957902163607,1390,0.21064581360471057
y_chargers,education+housing_structure,pct_black,-0.283258995814468,0.37562307968219816,0.4507865696393254,1390,0.21064581360471057
y_chargers,education+housing_structure,pct_hispanic,0.15298414743921784,0.1450324631810292,0.29150448714557387,1390,0.21064581360471057
y_chargers,education+housing_structure,pct_asian,-0.004355856433571165,0.128940654384851,0.9730510932793669,1390,0.21064581360471057
y_chargers,education+tenure,log_median_household_income,-0.02811456816467987,0.13057598666665243,0.8295241261863129,1390,0.2020515180722391
y_chargers,education+tenure,pct_black,-0.21913881086486073,0.3667229150109792,0.5501338051521827,1390,0.2020515180722391
y_chargers,education+tenure,pct_hispanic,0.016143540389153072,0.13939676306768364,0.907803117838775,1390,0.2020515180722391
y_chargers,education+tenure,pct_asian,0.018620952008010283,0.13233647873640056,0.8880997248946276,1390,0.2020515180722391
y_chargers,education+utility_fe,log_median_household_income,-0.5145157131653445,0.12225151335602484,2.5688346723326555e-05,1291,0.15847794491532852
y_chargers,education+utility_fe,pct_black,0.1328066203897168,0.3543981316903019,0.7078549645510763,1291,0.15847794491532852
y_chargers,education+utility_fe,pct_hispanic,0.52077526913108,0.14569362041645179,0.00035095835587014716,1291,0.15847794491532852
y_chargers,education+utility_fe,pct_asian,0.2382734749984008,0.13807511302108882,0.08440497986785468,1291,0.15847794491532852
y_chargers,county_fe+education,log_median_household_income,-0.5114860667324105,0.12214299893983752,2.819193651016996e-05,1390,0.2154857568975529
y_chargers,county_fe+education,pct_black,0.5339480642327047,0.375008421689297,0.15449582564502048,1390,0.2154857568975529
y_chargers,county_fe+education,pct_hispanic,0.36289354318231937,0.1658040736661879,0.028619455985296798,1390,0.2154857568975529
y_chargers,county_fe+education,pct_asian,0.2749168922163488,0.1583904821558497,0.08261853278175699,1390,0.2154857568975529
y_chargers,housing_structure+housing_value,log_median_household_income,0.22719690395878872,0.13681485607292404,0.096790644992398,1382,0.1969737912801861
y_chargers,housing_structure+housing_value,pct_black,-0.47072530019478,0.3810944132429727,0.21675853873728534,1382,0.1969737912801861
y_chargers,housing_structure+housing_value,pct_hispanic,-0.21670259650496437,0.10261413232884567,0.03470187481641746,1382,0.1969737912801861
y_chargers,housing_structure+housing_value,pct_asian,-0.03355704670339444,0.13133000763894528,0.7983238319930877,1382,0.1969737912801861
y_chargers,housing_value+tenure,log_median_household_income,0.3127837089349649,0.13789460592461922,0.023312087727933566,1382,0.18815311120663147
y_chargers,housing_value+tenure,pct_black,-0.3940541045726826,0.3683416209692937,0.28470660630540157,1382,0.18815311120663147
y_chargers,housing_value+tenure,pct_hispanic,-0.48056950447382557,0.09923049070298266,1.2791770284276988e-06,1382,0.18815311120663147
y_chargers,housing_value+tenure,pct_asian,-0.03074449467297277,0.13591290405488504,0.8210401725125392,1382,0.18815311120663147
y_chargers,housing_value+utility_fe,log_median_household_income,-0.22444090753934104,0.1361442616581539,0.09923943014266325,1283,0.10394783874640368
y_chargers,housing_value+utility_fe,pct_black,-0.0643951052464821,0.3612133832540077,0.8585074693857992,1283,0.10394783874640368
y_chargers,housing_value+utility_fe,pct_hispanic,-0.20623687314278014,0.11350934815121651,0.06923008115516212,1283,0.10394783874640368
y_chargers,housing_value+utility_fe,pct_asian,0.3157440339215869,0.1531650251090081,0.03925888875833807,1283,0.10394783874640368
y_chargers,county_fe+housing_value,log_median_household_income,-0.23499891507486387,0.1312128802484112,0.07329739634559511,1382,0.16797654273348284
y_chargers,county_fe+housing_value,pct_black,0.296805229933598,0.38269047461547645,0.4379998657772731,1382,0.16797654273348284
y_chargers,county_fe+housing_value,pct_hispanic,-0.4408552919347699,0.1270743567927562,0.000521874112988655,1382,0.16797654273348284
y_chargers,county_fe+housing_value,pct_asian,0.3162019702577189,0.1699622838964845,0.0628255133473753,1382,0.16797654273348284
y_chargers,housing_structure+tenure,log_median_household_income,0.3971824821059089,0.10581461621342168,0.00017433439057497558,1390,0.20149483954997371
y_chargers,housing_structure+tenure,pct_black,-0.5526218205874576,0.3813550691618785,0.14730951901985417,1390,0.20149483954997371
y_chargers,housing_structure+tenure,pct_hispanic,-0.3578610778774491,0.0982732633997134,0.0002710649569723478,1390,0.20149483954997371
y_chargers,housing_structure+tenure,pct_asian,-0.05426887793856011,0.1316705029232749,0.6802245833341745,1390,0.20149483954997371
y_chargers,housing_structure+utility_fe,log_median_household_income,0.27948329433385344,0.10593306503233316,0.00833226274057685,1291,0.19396050455897607
y_chargers,housing_structure+utility_fe,pct_black,-0.7513415393333046,0.40883006185500625,0.06609417065420871,1291,0.19396050455897607
y_chargers,housing_structure+utility_fe,pct_hispanic,-0.25654529136009124,0.10851054477298196,0.018066959804570137,1291,0.19396050455897607
y_chargers,housing_structure+utility_fe,pct_asian,-0.048966796411217504,0.13563745835891428,0.7180902213246925,1291,0.19396050455897607
y_chargers,county_fe+housing_structure,log_median_household_income,0.31054648987746664,0.11210436262257095,0.005602957739398692,1390,0.27243418193486224
y_chargers,county_fe+housing_structure,pct_black,-0.14983985112850207,0.40913666504528234,0.7141903026456589,1390,0.27243418193486224
y_chargers,county_fe+housing_structure,pct_hispanic,-0.3530900563959783,0.11540143889730155,0.002215826868332121,1390,0.27243418193486224
y_chargers,county_fe+housing_structure,pct_asian,0.20028710260914218,0.15110829098788475,0.1850205863140617,1390,0.27243418193486224
y_chargers,tenure+utility_fe,log_median_household_income,0.42996139423489804,0.10402645483260388,3.577583713297209e-05,1291,0.18212455480033185
y_chargers,tenure+utility_fe,pct_black,-0.6428517953858209,0.39258163725179707,0.10152637696211776,1291,0.18212455480033185
y_chargers,tenure+utility_fe,pct_hispanic,-0.5164509242172747,0.10572555097256787,1.0352021187157224e-06,1291,0.18212455480033185
y_chargers,tenure+utility_fe,pct_asian,-0.016012426303523907,0.14007608310351427,0.9089901924220571,1291,0.18212455480033185
y_chargers,county_fe+tenure,log_median_household_income,0.3721095533070215,0.10610503013179308,0.0004532017866563793,1390,0.24453934828466628
y_chargers,county_fe+tenure,pct_black,-0.18438893953267432,0.4038142211058392,0.6479454654468677,1390,0.24453934828466628
y_chargers,county_fe+tenure,pct_hispanic,-0.6303089683707598,0.11576135002561645,5.183451364975979e-08,1390,0.24453934828466628
y_chargers,county_fe+tenure,pct_asian,0.15175872456560432,0.15741047907986172,0.33499808034789413,1390,0.24453934828466628
y_chargers,education+housing_structure+housing_value,log_median_household_income,-0.026612205582885705,0.15121258935110993,0.8603002297255754,1382,0.21060421376756877
y_chargers,education+housing_structure+housing_value,pct_black,-0.2465838979251168,0.3757646817549629,0.51168326973376,1382,0.21060421376756877
y_chargers,education+housing_structure+housing_value,pct_hispanic,0.16636314026477222,0.14556191050482087,0.2530788780801485,1382,0.21060421376756877
y_chargers,education+housing_structure+housing_value,pct_asian,-0.0177435714321999,0.1291409930691707,0.890717085404711,1382,0.21060421376756877
y_chargers,education+housing_value+tenure,log_median_household_income,0.016839521206619856,0.1454833552764831,0.9078516434300438,1382,0.20582574611339666
y_chargers,education+housing_value+tenure,pct_black,-0.18977705201289694,0.3638854561151705,0.6019978611573131,1382,0.20582574611339666
y_chargers,education+housing_value+tenure,pct_hispanic,-0.01194941068897741,0.13616667966462323,0.9300707991218506,1382,0.20582574611339666
y_chargers,education+housing_value+tenure,pct_asian,-0.02339828268154315,0.13180610407239943,0.8590995810605229,1382,0.20582574611339666
y_chargers,education+housing_value+utility_fe,log_median_household_income,-0.5714051785737428,0.1334929801869618,1.8654623297763593e-05,1283,0.15938147956657334
y_chargers,education+housing_value+utility_fe,pct_black,0.15491545204435642,0.35457587817382236,0.6621813133930755,1283,0.15938147956657334
y_chargers,education+housing_value+utility_fe,pct_hispanic,0.5071183969227249,0.1483902654050139,0.0006320744193956626,1283,0.15938147956657334
y_chargers,education+housing_value+utility_fe,pct_asian,0.23266016666998995,0.1392929523065242,0.09486123215255807,1283,0.15938147956657334
y_chargers,county_fe+education+housing_value,log_median_household_income,-0.53416799282707,0.13115090213482722,4.6426066473862146e-05,1382,0.21564566320561307
y_chargers,county_fe+education+housing_value,pct_black,0.568564537685454,0.37309177909146596,0.12752701347550938,1382,0.21564566320561307
y_chargers,county_fe+education+housing_value,pct_hispanic,0.36852939340614144,0.16644613790610582,0.026821487667738078,1382,0.21564566320561307
y_chargers,county_fe+education+housing_value,pct_asian,0.27240289233380305,0.1587842804795585,0.08624383675654564,1382,0.21564566320561307
