OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,CEC_Jurisdictional,x,y
2382,S9107,Nilsen Farms,0,Not Available,Sacramento,1.1,1,SUN,1/1/2012 12:00:00 AM,0,-121.163599653,38.4501547620001
2383,H0516,Tiger Creek,0,Pacific Gas & Electric (PG&E),Amador,60,"Unit 584, Unit 585",WAT,8/1/1931 12:00:00 AM,0,-120.492635144,38.449091276
2384,H0558,West Point,0,Pacific Gas & Electric (PG&E),Amador,14,Unit 586,WAT,11/21/1948 12:00:00 AM,0,-120.549482733,38.4209025650001
2385,S9182,Fresh Air Energy  LLC_(Pioneer 1),0,Not Available,Amador,1.5,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-120.595427453,38.4132467260001
2386,H0431,Salt Springs,0,Pacific Gas & Electric (PG&E),Amador,46,"Unit 580, Unit 581",WAT,6/15/1931 12:00:00 AM,0,-120.218154198,38.497893515
2387,H0356,Spicer,0,Northern California Power Agency,Tuolumne,6,"GEN 1, GEN 2, GEN 3",WAT,2/1/1990 12:00:00 AM,0,-120.000769957,38.391599361
2388,W0417,Milford Wind 1 - (Utah),0,Longroad Energy,Beaver,203.5,Milford Wind 1,WND,11/16/2009 12:00:00 AM,0,-112.953693477,38.551310464
2389,H0485,Warm Springs,0,Sonoma County Water Agency,Sonoma,2.79,3385,WAT,12/1/1988 12:00:00 AM,0,-123.011274026,38.7221215100001
2390,S9055,Clos Du Bois Wines Inc.,0,Not Available,Sonoma,1,1,SUN,1/1/2012 12:00:00 AM,0,-122.877811725,38.6849200620001
2391,T0040,Geothermal 2,0,Northern California Power Agency,Sonoma,110,"3, 4",GEO,1/1/1985 12:00:00 AM,1,-122.71119004,38.748511099
2392,S9082,Cemex Construction Materials Pacific LLC,0,Not Available,Yolo,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.946328898,38.6823545510001
2393,W0399,Cemex Madison,0,Foundation Windpower,Yolo,1,WPRS 1,WND,11/1/2011 12:00:00 AM,0,-121.935209124,38.687622248
2394,S0115,Yolo County Solar Project,0,Yolo County General Services,Yolo,1,1,SUN,7/1/2010 12:00:00 AM,0,-121.729524069,38.6599374460001
2395,S9010,Co. Inc. #21 Walgreens,0,Not Available,Yolo,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.712744289,38.674985916
2396,S9022,Tony's Fine Foods,0,Not Available,Yolo,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.561008318,38.5915020730001
2397,S9110,Amir Development Company,0,Not Available,Yolo,1.1,1,SUN,1/1/2012 12:00:00 AM,0,-121.713922928,38.6750236930001
2398,E0105,Woodland Biomass Power Ltd,0,DTE Energy Services,Yolo,28,Unit 1,WDS,9/1/1989 12:00:00 AM,0,-121.736941959,38.6908514770001
2399,E0154,MM Yolo Power LLC Facility,0,Yolo County General Services,Yolo,2.85,"4-Jan, 5-Jan, 5",LFG,10/1/1990 12:00:00 AM,0,-121.687463868,38.5962985960001
2400,S0405,Strata Roof 1,0,Strata Clean Energy,Sacramento,1,Unit 1,SUN,5/15/2013 12:00:00 AM,0,-121.506205818,38.642729198
2401,S0661,US General Service Administration - Sacramento,0,Tesla Inc.,Sacramento,1.38,Unit 1,SUN,3/29/2018 12:00:00 AM,0,-121.398015541,38.600859568
2402,G0335,McClellan,0,Sacramento Municipal Utility District (SMUD),Sacramento,74.2,1,NG,3/1/1986 12:00:00 AM,0,-121.393077713,38.652631506
2403,S0719,Wildflower Solar 1,0,"Wildflower Solar I, LLC",Sacramento,13,CAWF1,SUN,12/14/2020 12:00:00 AM,0,-121.478236394,38.7039640880001
2404,H0360,Nimbus,0,United States Bureau of Reclamation,Sacramento,13.5,"UNIT 1, UNIT 2",WAT,5/1/1955 12:00:00 AM,0,-121.220309089,38.6374754880001
2405,H0186,Folsom,0,United States Bureau of Reclamation,Sacramento,198.72,"1, 2, 3",WAT,6/1/1955 12:00:00 AM,0,-121.158472583,38.70672368
2406,S0116,Aerojet I (3.6MW) Solar Plant,0,Altus Power America Inc,Sacramento,3.6,Aerojet I,SUN,12/23/2009 12:00:00 AM,0,-121.163120581,38.6136198510001
2407,S0130,Aerojet II (2.4MW) Solar Plant,0,Altus Power America Inc,Sacramento,2.4,Aerojet II,SUN,5/21/2010 12:00:00 AM,0,-121.170588776,38.609556621
2408,S0622,Intel Corporation - Folsom Carport Phase 1,0,Tesla Inc.,Sacramento,1.1,956100-CA,SUN,7/9/2010 12:00:00 AM,0,-121.166102335,38.6468161880001
