Unnamed: 0,zip_code,median_household_income,poverty_rate,pct_bachelors_plus,pct_black,pct_hispanic,pct_asian,median_housing_value,total_population,pct_single_family_units,pct_multifamily_units,pct_mobile_home_units
30641,90049,169898.0,0.0559644914950514,0.8081805359661495,0.014618211514904,0.0825643119640669,0.0905675786035116,2000001.0,36735,,,
30643,90056,127252.0,0.100633914421553,0.5229568411386594,0.5913785361472833,0.1535698248765155,0.0442299057027391,1510300.0,8908,,,
30644,90057,44876.0,0.2723424376843574,0.2320205754701816,0.0657328532537103,0.6830815842627558,0.1795468516729604,694500.0,45548,,,
30645,90058,36680.0,0.2886476972719272,0.2232960325534079,0.1111762980346142,0.7568201818715166,0.0067468465825755,456500.0,3409,,,
30646,90059,53840.0,0.2441554995356242,0.1179418939897981,0.2502170195975273,0.704642904116796,0.0102854136525055,566200.0,38015,,,
30647,90061,60114.0,0.2398144485598187,0.1227285592980469,0.2586558044806517,0.6982934194817052,0.0074092281761359,576400.0,28478,,,
30648,90062,63652.0,0.1820316168414462,0.1651116515586999,0.2568358766739333,0.6328869511055746,0.0198691996262846,672700.0,32110,,,
30649,90063,71725.0,0.1671726452025245,0.1281896785466815,0.0026713629887604,0.9365798638594268,0.0202825708405888,619100.0,50536,,,
30650,90064,129703.0,0.0712010919017288,0.7057267427619655,0.0357439420246093,0.1397297501321054,0.188495508417,1746800.0,26494,,,
30651,90065,92903.0,0.1384940966807752,0.4032979976442874,0.0149972268441486,0.5247254575707154,0.1346644481419855,1043900.0,45075,,,
30652,90066,107786.0,0.0737421063353025,0.6136128120584079,0.04587539790814,0.2473851750795816,0.1551978171896316,1636600.0,54975,,,
30653,90067,135328.0,0.1045958795562599,0.6727969348659004,0.031911532385466,0.0492890995260663,0.1946287519747235,1585900.0,3165,,,
30654,90068,101720.0,0.1044035079578673,0.6419206817436905,0.0716769437618804,0.128935045667393,0.0522509156660021,1840200.0,21569,,,
30655,90069,110705.0,0.1241913979556565,0.716636197440585,0.03253272959937,0.0828821734422679,0.0606851068018505,1085900.0,20318,,,
30656,90071,,0.8552631578947368,0.0,0.2828947368421052,0.4276315789473684,0.0,,304,,,
30657,90073,,0.6962209302325582,0.132495164410058,0.1329534662867996,0.2241215574548908,0.0474833808167141,,1053,,,
30658,90077,220464.0,0.0559153175591531,0.768957946292856,0.0113998529051238,0.0659475361608237,0.0999019367492032,2000001.0,8158,,,
30660,90089,,1.0,0.7163461538461539,0.0699183588025957,0.2070337031609797,0.3301235084781243,,4777,,,
30661,90094,159904.0,0.0845588235294117,0.850293020777837,0.0837799950523625,0.1261647563288529,0.1691267419807042,1234400.0,12127,,,
30663,90201,56824.0,0.2363997850617947,0.074081745374206,0.013328641651472,0.9432839640446564,0.0049902434343111,542800.0,93783,,,
30664,90210,190382.0,0.0842662324445349,0.6838907804259297,0.020252391614085,0.0578567066965194,0.0658966008548748,2000001.0,19652,,,
30665,90211,118125.0,0.1101156724880925,0.6650878533231475,0.0134144966745575,0.0555743433660241,0.1960320144290384,2000001.0,8871,,,
30666,90212,116238.0,0.0745800258445634,0.744241461477363,0.0251061473140114,0.0854716632822595,0.1170389514491415,2000001.0,10834,,,
